IMG\center_2018_09_02_09_57_39_036.jpg,IMG\left_2018_09_02_09_57_39_036.jpg,IMG\right_2018_09_02_09_57_39_036.jpg,0,0,0,1.56E-05
IMG\center_2018_09_02_09_57_39_105.jpg,IMG\left_2018_09_02_09_57_39_105.jpg,IMG\right_2018_09_02_09_57_39_105.jpg,0,0,0,6.47E-06
IMG\center_2018_09_02_09_57_39_176.jpg,IMG\left_2018_09_02_09_57_39_176.jpg,IMG\right_2018_09_02_09_57_39_176.jpg,0,0,0,1.10E-05
IMG\center_2018_09_02_09_57_39_246.jpg,IMG\left_2018_09_02_09_57_39_246.jpg,IMG\right_2018_09_02_09_57_39_246.jpg,0,0,0,2.38E-06
IMG\center_2018_09_02_09_57_39_317.jpg,IMG\left_2018_09_02_09_57_39_317.jpg,IMG\right_2018_09_02_09_57_39_317.jpg,0,0,0,8.80E-07
IMG\center_2018_09_02_09_57_39_384.jpg,IMG\left_2018_09_02_09_57_39_384.jpg,IMG\right_2018_09_02_09_57_39_384.jpg,0,0,0,2.52E-05
IMG\center_2018_09_02_09_57_39_453.jpg,IMG\left_2018_09_02_09_57_39_453.jpg,IMG\right_2018_09_02_09_57_39_453.jpg,0,0,0,2.11E-05
IMG\center_2018_09_02_09_57_39_521.jpg,IMG\left_2018_09_02_09_57_39_521.jpg,IMG\right_2018_09_02_09_57_39_521.jpg,0,0,0,3.35E-06
IMG\center_2018_09_02_09_57_39_589.jpg,IMG\left_2018_09_02_09_57_39_589.jpg,IMG\right_2018_09_02_09_57_39_589.jpg,0,0,0,4.95E-06
IMG\center_2018_09_02_09_57_39_659.jpg,IMG\left_2018_09_02_09_57_39_659.jpg,IMG\right_2018_09_02_09_57_39_659.jpg,0,0,0,2.27E-05
IMG\center_2018_09_02_09_57_39_726.jpg,IMG\left_2018_09_02_09_57_39_726.jpg,IMG\right_2018_09_02_09_57_39_726.jpg,0,0,0,9.05E-06
IMG\center_2018_09_02_09_57_39_797.jpg,IMG\left_2018_09_02_09_57_39_797.jpg,IMG\right_2018_09_02_09_57_39_797.jpg,0,0,0,1.68E-05
IMG\center_2018_09_02_09_57_39_868.jpg,IMG\left_2018_09_02_09_57_39_868.jpg,IMG\right_2018_09_02_09_57_39_868.jpg,0,0.1056462,0,0.02314933
IMG\center_2018_09_02_09_57_39_938.jpg,IMG\left_2018_09_02_09_57_39_938.jpg,IMG\right_2018_09_02_09_57_39_938.jpg,0,0.3528717,0,0.2559523
IMG\center_2018_09_02_09_57_40_006.jpg,IMG\left_2018_09_02_09_57_40_006.jpg,IMG\right_2018_09_02_09_57_40_006.jpg,0,0.5246755,0,0.574788
IMG\center_2018_09_02_09_57_40_076.jpg,IMG\left_2018_09_02_09_57_40_076.jpg,IMG\right_2018_09_02_09_57_40_076.jpg,-0.2,0.7671149,0,1.239941
IMG\center_2018_09_02_09_57_40_145.jpg,IMG\left_2018_09_02_09_57_40_145.jpg,IMG\right_2018_09_02_09_57_40_145.jpg,-0.35,0.9431479,0,1.873548
IMG\center_2018_09_02_09_57_40_217.jpg,IMG\left_2018_09_02_09_57_40_217.jpg,IMG\right_2018_09_02_09_57_40_217.jpg,-0.5500001,1,0,2.808063
IMG\center_2018_09_02_09_57_40_286.jpg,IMG\left_2018_09_02_09_57_40_286.jpg,IMG\right_2018_09_02_09_57_40_286.jpg,-0.7,1,0,3.486989
IMG\center_2018_09_02_09_57_40_357.jpg,IMG\left_2018_09_02_09_57_40_357.jpg,IMG\right_2018_09_02_09_57_40_357.jpg,-0.9000002,1,0,4.37543
IMG\center_2018_09_02_09_57_40_428.jpg,IMG\left_2018_09_02_09_57_40_428.jpg,IMG\right_2018_09_02_09_57_40_428.jpg,-1,1,0,5.02126
IMG\center_2018_09_02_09_57_40_499.jpg,IMG\left_2018_09_02_09_57_40_499.jpg,IMG\right_2018_09_02_09_57_40_499.jpg,0,1,0,5.825754
IMG\center_2018_09_02_09_57_40_570.jpg,IMG\left_2018_09_02_09_57_40_570.jpg,IMG\right_2018_09_02_09_57_40_570.jpg,0,1,0,6.510984
IMG\center_2018_09_02_09_57_40_640.jpg,IMG\left_2018_09_02_09_57_40_640.jpg,IMG\right_2018_09_02_09_57_40_640.jpg,0,1,0,7.424569
IMG\center_2018_09_02_09_57_40_711.jpg,IMG\left_2018_09_02_09_57_40_711.jpg,IMG\right_2018_09_02_09_57_40_711.jpg,0,1,0,8.105402
IMG\center_2018_09_02_09_57_40_783.jpg,IMG\left_2018_09_02_09_57_40_783.jpg,IMG\right_2018_09_02_09_57_40_783.jpg,-0.2,1,0,8.997109
IMG\center_2018_09_02_09_57_40_854.jpg,IMG\left_2018_09_02_09_57_40_854.jpg,IMG\right_2018_09_02_09_57_40_854.jpg,-0.4,1,0,9.854799
IMG\center_2018_09_02_09_57_40_925.jpg,IMG\left_2018_09_02_09_57_40_925.jpg,IMG\right_2018_09_02_09_57_40_925.jpg,0,1,0,10.48959
IMG\center_2018_09_02_09_57_40_996.jpg,IMG\left_2018_09_02_09_57_40_996.jpg,IMG\right_2018_09_02_09_57_40_996.jpg,0,1,0,11.3653
IMG\center_2018_09_02_09_57_41_067.jpg,IMG\left_2018_09_02_09_57_41_067.jpg,IMG\right_2018_09_02_09_57_41_067.jpg,-0.15,1,0,12.14706
IMG\center_2018_09_02_09_57_41_134.jpg,IMG\left_2018_09_02_09_57_41_134.jpg,IMG\right_2018_09_02_09_57_41_134.jpg,-0.35,1,0,12.85933
IMG\center_2018_09_02_09_57_41_201.jpg,IMG\left_2018_09_02_09_57_41_201.jpg,IMG\right_2018_09_02_09_57_41_201.jpg,0,1,0,13.47478
IMG\center_2018_09_02_09_57_41_268.jpg,IMG\left_2018_09_02_09_57_41_268.jpg,IMG\right_2018_09_02_09_57_41_268.jpg,-0.1,1,0,14.02651
